#スキル系統,発動スキル,必要ポイント,カテゴリ,効果,系統番号,仮番号,コスト,基本説明,効果検索用テキスト
攻撃,攻撃Lv1,1,パラメータ変化,攻撃力+3,1,10,15,プレイヤーの基礎攻撃力を高める。,攻撃 攻撃Lv1 プレイヤーの基礎攻撃力を高める。 攻撃力+3
攻撃,攻撃Lv2,2,パラメータ変化,攻撃力+6,1,10,15,プレイヤーの基礎攻撃力を高める。,攻撃 攻撃Lv2 プレイヤーの基礎攻撃力を高める。 攻撃力+6
攻撃,攻撃Lv3,3,パラメータ変化,攻撃力+9,1,10,15,プレイヤーの基礎攻撃力を高める。,攻撃 攻撃Lv3 プレイヤーの基礎攻撃力を高める。 攻撃力+9
攻撃,攻撃Lv4,4,パラメータ変化,攻撃力を1.05倍し、攻撃力に+7,1,10,15,プレイヤーの基礎攻撃力を高める。,攻撃 攻撃Lv4 プレイヤーの基礎攻撃力を高める。 攻撃力を1.05倍し、攻撃力に+7
攻撃,攻撃Lv5,5,パラメータ変化,攻撃力を1.06倍し、攻撃力に+8,1,10,15,プレイヤーの基礎攻撃力を高める。,攻撃 攻撃Lv5 プレイヤーの基礎攻撃力を高める。 攻撃力を1.06倍し、攻撃力に+8
攻撃,攻撃Lv6,6,パラメータ変化,攻撃力を1.08倍し、攻撃力に+9,1,10,15,プレイヤーの基礎攻撃力を高める。,攻撃 攻撃Lv6 プレイヤーの基礎攻撃力を高める。 攻撃力を1.08倍し、攻撃力に+9
攻撃,攻撃Lv7,7,パラメータ変化,攻撃力を1.1倍し、攻撃力に+10,1,10,15,プレイヤーの基礎攻撃力を高める。,攻撃 攻撃Lv7 プレイヤーの基礎攻撃力を高める。 攻撃力を1.1倍し、攻撃力に+10
挑戦者,挑戦者Lv1,1,戦闘(攻撃),戦闘中の大型モンスターが怒ると、基礎攻撃力+4、会心率+3%,2,20,12,大型モンスターが怒っている間、攻撃力と会心率を高める。,挑戦者 挑戦者Lv1 大型モンスターが怒っている間、攻撃力と会心率を高める。 戦闘中の大型モンスターが怒ると、基礎攻撃力+4、会心率+3%
挑戦者,挑戦者Lv2,2,戦闘(攻撃),戦闘中の大型モンスターが怒ると、基礎攻撃力+8、会心率+5%,2,20,12,大型モンスターが怒っている間、攻撃力と会心率を高める。,挑戦者 挑戦者Lv2 大型モンスターが怒っている間、攻撃力と会心率を高める。 戦闘中の大型モンスターが怒ると、基礎攻撃力+8、会心率+5%
挑戦者,挑戦者Lv3,3,戦闘(攻撃),戦闘中の大型モンスターが怒ると、基礎攻撃力+12、会心率+7%,2,20,12,大型モンスターが怒っている間、攻撃力と会心率を高める。,挑戦者 挑戦者Lv3 大型モンスターが怒っている間、攻撃力と会心率を高める。 戦闘中の大型モンスターが怒ると、基礎攻撃力+12、会心率+7%
挑戦者,挑戦者Lv4,4,戦闘(攻撃),戦闘中の大型モンスターが怒ると、基礎攻撃力+16、会心率+10%,2,20,12,大型モンスターが怒っている間、攻撃力と会心率を高める。,挑戦者 挑戦者Lv4 大型モンスターが怒っている間、攻撃力と会心率を高める。 戦闘中の大型モンスターが怒ると、基礎攻撃力+16、会心率+10%
挑戦者,挑戦者Lv5,5,戦闘(攻撃),戦闘中の大型モンスターが怒ると、基礎攻撃力+20、会心率+15%,2,20,12,大型モンスターが怒っている間、攻撃力と会心率を高める。,挑戦者 挑戦者Lv5 大型モンスターが怒っている間、攻撃力と会心率を高める。 戦闘中の大型モンスターが怒ると、基礎攻撃力+20、会心率+15%
攻勢,攻勢Lv1,1,戦闘(攻撃),毒、麻痺、属性やられ状態の大型モンスターに攻撃を当てた際、攻撃力と会心率が上がる,,,9,毒・麻痺・属性やられ状態の大型モンスターへの攻撃時、攻撃力と会心率を高める。,攻勢 攻勢Lv1 毒・麻痺・属性やられ状態の大型モンスターへの攻撃時、攻撃力と会心率を高める。 毒、麻痺、属性やられ状態の大型モンスターに攻撃を当てた際、攻撃力と会心率が上がる
攻勢,攻勢Lv2,2,戦闘(攻撃),毒、麻痺、属性やられ状態の大型モンスターに攻撃を当てた際、攻撃力と会心率が上がる,,,9,毒・麻痺・属性やられ状態の大型モンスターへの攻撃時、攻撃力と会心率を高める。,攻勢 攻勢Lv2 毒・麻痺・属性やられ状態の大型モンスターへの攻撃時、攻撃力と会心率を高める。 毒、麻痺、属性やられ状態の大型モンスターに攻撃を当てた際、攻撃力と会心率が上がる
攻勢,攻勢Lv3,3,戦闘(攻撃),毒、麻痺、属性やられ状態の大型モンスターに攻撃を当てた際、攻撃力と会心率が上がる,,,9,毒・麻痺・属性やられ状態の大型モンスターへの攻撃時、攻撃力と会心率を高める。,攻勢 攻勢Lv3 毒・麻痺・属性やられ状態の大型モンスターへの攻撃時、攻撃力と会心率を高める。 毒、麻痺、属性やられ状態の大型モンスターに攻撃を当てた際、攻撃力と会心率が上がる
フルチャージ,フルチャージLv1,1,戦闘(攻撃),体力が最大の時、基礎攻撃力+5,3,30,12,体力最大時に攻撃力を高める。,フルチャージ フルチャージLv1 体力最大時に攻撃力を高める。 体力が最大の時、基礎攻撃力+5
フルチャージ,フルチャージLv2,2,戦闘(攻撃),体力が最大の時、基礎攻撃力+10,3,30,12,体力最大時に攻撃力を高める。,フルチャージ フルチャージLv2 体力最大時に攻撃力を高める。 体力が最大の時、基礎攻撃力+10
フルチャージ,フルチャージLv3,3,戦闘(攻撃),体力が最大の時、基礎攻撃力+20,3,30,12,体力最大時に攻撃力を高める。,フルチャージ フルチャージLv3 体力最大時に攻撃力を高める。 体力が最大の時、基礎攻撃力+20
逆恨み,逆恨みLv1,1,戦闘(攻撃),体力ゲージに赤い部分がある間、基礎攻撃力+5,4,40,12,体力ゲージに赤い部分がある間、攻撃力を高める。,逆恨み 逆恨みLv1 体力ゲージに赤い部分がある間、攻撃力を高める。 体力ゲージに赤い部分がある間、基礎攻撃力+5
逆恨み,逆恨みLv2,2,戦闘(攻撃),体力ゲージに赤い部分がある間、基礎攻撃力+10,4,40,12,体力ゲージに赤い部分がある間、攻撃力を高める。,逆恨み 逆恨みLv2 体力ゲージに赤い部分がある間、攻撃力を高める。 体力ゲージに赤い部分がある間、基礎攻撃力+10
逆恨み,逆恨みLv3,3,戦闘(攻撃),体力ゲージに赤い部分がある間、基礎攻撃力+15,4,40,12,体力ゲージに赤い部分がある間、攻撃力を高める。,逆恨み 逆恨みLv3 体力ゲージに赤い部分がある間、攻撃力を高める。 体力ゲージに赤い部分がある間、基礎攻撃力+15
逆恨み,逆恨みLv4,4,戦闘(攻撃),体力ゲージに赤い部分がある間、基礎攻撃力+20,4,40,12,体力ゲージに赤い部分がある間、攻撃力を高める。,逆恨み 逆恨みLv4 体力ゲージに赤い部分がある間、攻撃力を高める。 体力ゲージに赤い部分がある間、基礎攻撃力+20
逆恨み,逆恨みLv5,5,戦闘(攻撃),体力ゲージに赤い部分がある間、基礎攻撃力+25,4,40,12,体力ゲージに赤い部分がある間、攻撃力を高める。,逆恨み 逆恨みLv5 体力ゲージに赤い部分がある間、攻撃力を高める。 体力ゲージに赤い部分がある間、基礎攻撃力+25
死中に活,死中に活Lv1,1,戦闘(攻撃),状態異常中は攻撃力が上がる。スキル発動中、攻撃力+5,5,50,12,状態異常中に攻撃力を高める。,死中に活 死中に活Lv1 状態異常中に攻撃力を高める。 状態異常中は攻撃力が上がる。スキル発動中、攻撃力+5
死中に活,死中に活Lv2,2,戦闘(攻撃),状態異常中は攻撃力が上がる。スキル発動中、攻撃力+10,5,50,12,状態異常中に攻撃力を高める。,死中に活 死中に活Lv2 状態異常中に攻撃力を高める。 状態異常中は攻撃力が上がる。スキル発動中、攻撃力+10
死中に活,死中に活Lv3,3,戦闘(攻撃),状態異常中は攻撃力が上がる。スキル発動中、攻撃力+20,5,50,12,状態異常中に攻撃力を高める。,死中に活 死中に活Lv3 状態異常中に攻撃力を高める。 状態異常中は攻撃力が上がる。スキル発動中、攻撃力+20
逆襲,逆襲Lv1,1,戦闘(攻撃),ふきとばされた後は、一定時間攻撃力がある。スキル発動時、攻撃力+10,91,910,6,吹き飛ばされた後、一定時間攻撃力を高める。,逆襲 逆襲Lv1 吹き飛ばされた後、一定時間攻撃力を高める。 ふきとばされた後は、一定時間攻撃力がある。スキル発動時、攻撃力+10
逆襲,逆襲Lv2,2,戦闘(攻撃),ふきとばされた後は、一定時間攻撃力がある。スキル発動時、攻撃力+15,91,910,6,吹き飛ばされた後、一定時間攻撃力を高める。,逆襲 逆襲Lv2 吹き飛ばされた後、一定時間攻撃力を高める。 ふきとばされた後は、一定時間攻撃力がある。スキル発動時、攻撃力+15
